Identifiant de l'élément;Code de la catégorie;Nom base français;Nom frontière français;1er niveau;2eme niveau;3eme niveau;4eme niveau;5eme niveau;Unité anglais;Structure;Somme de Total poste non décomposé2;Nombre de Total poste non décomposé,,,,,
27897;UTCF > Forêts françaises > Lorraine;Forêts fermées;Lorraine;UTCF ; Forêts françaises ;;;;kgCO2e/ha.year;élément non décomposé;-4,97;1,,,,
27769;Réseaux de chaleur / froid > Île-de-France > 95. Val-d'Oise;Réseau de chaleur;2018;Réseaux de chaleur / froid ; Île-de-France ;;;;kgCO2e/kWh;élément non décomposé;0,105;1,,,,
27705;Réseaux de chaleur / froid > Île-de-France > 92. Hauts-de-Seine;Réseau de chaleur;2018;Réseaux de chaleur / froid ; Île-de-France ;;;;kgCO2e/kWh;élément non décomposé;0,282;1,,,,
27387;Réseaux de chaleur / froid > Basse-Normandie;Réseau de chaleur;2018;Réseaux de chaleur / froid ;;;;;kgCO2e/kWh;élément non décomposé;0,051;1,,,,
27833;UTCF > Forêts françaises > Champagne-Ardenne;Forêts fermées et ouvertes;Champagne-Ardenne;UTCF ; Forêts françaises ;;;;kgCO2e/ha.year;élément non décomposé;-6,6;1,,,,
27388;Réseaux de chaleur / froid > Champagne-Ardenne;Réseau de chaleur;2018;Réseaux de chaleur / froid ;;;;;kgCO2e/kWh;élément non décomposé;0,239;1,,,,
27673;Réseaux de chaleur / froid > Lorraine;Réseau de chaleur;2018;Réseaux de chaleur / froid ;;;;;kgCO2e/kWh;élément non décomposé;0;1,,,,,
27389;Réseaux de chaleur / froid > Champagne-Ardenne;Réseau de chaleur;2018;Réseaux de chaleur / froid ;;;;;kgCO2e/kWh;élément non décomposé;0;1,,,,,
27737;Réseaux de chaleur / froid > Île-de-France > 93. Seine-Saint-Denis;Réseau de Froid;2018;Réseaux de chaleur / froid ; Île-de-France ;;;;kgCO2e/kWh;élément non décomposé;0,009;1,,,,
27390;Réseaux de chaleur / froid > Champagne-Ardenne;Réseau de chaleur;2018;Réseaux de chaleur / froid ;;;;;kgCO2e/kWh;élément non décomposé;0;1,,,,,
27801;UTCF > Forêts françaises > Basse-Normandie;Forêts fermées et ouvertes;Basse-Normandie;UTCF ; Forêts françaises ;;;;kgCO2e/ha.year;élément non décomposé;-4,93;1,,,,
27391;Réseaux de chaleur / froid > Champagne-Ardenne;Réseau de chaleur;2018;Réseaux de chaleur / froid ;;;;;kgCO2e/kWh;élément non décomposé;0,277;1,,,,
27865;UTCF > Forêts françaises > Haute-Normandie;Forêts fermées;Haute-Normandie;UTCF ; Forêts françaises ;;;;kgCO2e/ha.year;élément non décomposé;-4,97;1,,,,
