Identifiant de l'élément,Code de la catégorie,Nom base français,Nom frontière français,1er niveau,2eme niveau,3eme niveau,4eme niveau,5eme niveau,Unité anglais,Structure,Somme de Total poste non décomposé2
27956,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées et ouvertes,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-4.9
27955,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.14
27954,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées et ouvertes,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.24
27953,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.4
27952,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées et ouvertes,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.37
27951,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.51
27950,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées et ouvertes,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-4.05
27949,UTCF > Forêts françaises > Rhône-Alpes,Forêts fermées,Rhône-Alpes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-4.17
27948,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées et ouvertes,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.13
27947,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.46
27946,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées et ouvertes,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.27
27945,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.5
27944,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées et ouvertes,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.07
27943,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.26
27942,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées et ouvertes,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.47
27941,UTCF > Forêts françaises > Provence-Alpes-Côte d'Azur,Forêts fermées,Provence-Alpes-Côte d'Azur,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-2.63
27940,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées et ouvertes,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.36
27939,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.57
27938,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées et ouvertes,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-6.74
27937,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-6.57
27936,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées et ouvertes,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.44
27935,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.53
27934,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées et ouvertes,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.29
27933,UTCF > Forêts françaises > Poitou-Charentes,Forêts fermées,Poitou-Charentes,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-5.4
27932,UTCF > Forêts françaises > Picardie,Forêts fermées et ouvertes,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-3.24
27931,UTCF > Forêts françaises > Picardie,Forêts fermées,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-3.35
27930,UTCF > Forêts françaises > Picardie,Forêts fermées et ouvertes,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-4.93
27929,UTCF > Forêts françaises > Picardie,Forêts fermées,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-4.97
27928,UTCF > Forêts françaises > Picardie,Forêts fermées et ouvertes,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-3.74
27927,UTCF > Forêts françaises > Picardie,Forêts fermées,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,-3.77
27926,UTCF > Forêts françaises > Picardie,Forêts fermées et ouvertes,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,4.02
27925,UTCF > Forêts françaises > Picardie,Forêts fermées,Picardie,UTCF , Forêts françaises ,,,,kgCO2e/ha.year,élément non décomposé,4.02
