id_base_carbone,line_type,step,ef_level_1,ef_level_2,ef_level_3,localization_1,localization_2,ef_unit,data_unit_1,data_unit_2,ef_value_total,ef_value_co2,ef_value_ch4,ef_value_ch4b,ef_value_n2o,ef_value_other_ges,ef_value_co2b,uncertainty,item_1_fixed_energy,item_2_electricity,item_3_network,item_4_mobile_fuel,item_5_transport,item_6_business_travel,item_7_commuting,item_8_client_visits,item_9_procurement,item_10_amortization,item_11_waste_city,item_12_waste_private,item_13_water,item_14_product_use,item_15_product_waste,item_16_fugitive
12895,Elément,Total,Solides,Agglomérés de houille,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,105.00000,98.30,5.58,0.00,0.80,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12895,Poste,Combustion,Solides,Agglomérés de houille,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,95.80000,95.00,0.03,0.00,0.80,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12895,Poste,Amont,Solides,Agglomérés de houille,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,8.85000,3.30,5.55,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12896,Elément,Total,Solides,Agglomérés de houille,,France continentale,,kgCO2e/kg,kg,,3.35000,3.15,0.18,0.00,0.03,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12896,Poste,Combustion,Solides,Agglomérés de houille,,France continentale,,kgCO2e/kg,kg,,3.07000,3.04,0.00,0.00,0.03,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12896,Poste,Amont,Solides,Agglomérés de houille,,France continentale,,kgCO2e/kg,kg,,0.28400,0.11,0.18,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12897,Elément,Total,Solides,Agglomérés de houille,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.37700,0.35,0.02,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12897,Poste,Combustion,Solides,Agglomérés de houille,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.34500,0.34,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12897,Poste,Amont,Solides,Agglomérés de houille,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.03190,0.01,0.02,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12898,Elément,Total,Solides,Agglomérés de houille,,France continentale,,kgCO2e/tep PCI,tep PCI,,"4,397.00000","4,129.00",234.00,0.00,33.40,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12898,Poste,Combustion,Solides,Agglomérés de houille,,France continentale,,kgCO2e/tep PCI,tep PCI,,"4,025.00000","3,990.00",1.26,0.00,33.40,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12898,Poste,Amont,Solides,Agglomérés de houille,,France continentale,,kgCO2e/tep PCI,tep PCI,,372.00000,139.00,233.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12899,Elément,Total,Solides,Anthracite,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,108.00000,102.00,5.73,0.00,0.40,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12899,Poste,Combustion,Solides,Anthracite,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,98.70000,98.30,0.03,0.00,0.40,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12899,Poste,Amont,Solides,Anthracite,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,9.00000,3.30,5.70,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12900,Elément,Total,Solides,Anthracite,,France continentale,,kgCO2e/kg,kg,,2.87000,2.71,0.15,0.00,0.01,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12900,Poste,Combustion,Solides,Anthracite,,France continentale,,kgCO2e/kg,kg,,2.63000,2.62,0.00,0.00,0.01,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12900,Poste,Amont,Solides,Anthracite,,France continentale,,kgCO2e/kg,kg,,0.23600,0.09,0.15,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12902,Elément,Total,Solides,Anthracite,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.38800,0.37,0.02,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12902,Poste,Combustion,Solides,Anthracite,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.35600,0.35,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12902,Poste,Amont,Solides,Anthracite,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.03190,0.01,0.02,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12904,Elément,Total,Solides,Anthracite,,France continentale,,kgCO2e/tep PCI,tep PCI,,"4,520.00000","4,269.00",234.00,0.00,16.70,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12904,Poste,Combustion,Solides,Anthracite,,France continentale,,kgCO2e/tep PCI,tep PCI,,"4,147.00000","4,130.00",0.00,0.00,16.70,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12904,Poste,Amont,Solides,Anthracite,,France continentale,,kgCO2e/tep PCI,tep PCI,,373.00000,139.00,234.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14112,Elément,Total,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,81.00000,80.20,0.09,0.00,0.66,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14112,Poste,Combustion,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,73.80000,73.00,0.09,0.00,0.66,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14112,Poste,Amont,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/GJ PCI,GJ PCI,,7.22000,7.22,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14113,Elément,Total,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.29200,0.29,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14113,Poste,Combustion,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.26600,0.26,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14113,Poste,Amont,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.02600,0.03,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14114,Elément,Total,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/tep PCI,tep PCI,,"3,405.00000","3,373.00",3.78,0.00,27.80,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14114,Poste,Combustion,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/tep PCI,tep PCI,,"3,102.00000","3,070.00",3.78,0.00,27.80,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14114,Poste,Amont,Liquides,Produits à usages spéciaux,,France continentale,,kgCO2e/tep PCI,tep PCI,,303.00000,303.00,0.00,0.00,0.00,0.00,0.00,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14245,Elément,Total,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.78000,0.73,0.00,0.00,0.05,0.00,-0.25,20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14245,Poste,Amont,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/kWh PCI,kWh PCI,,0.78000,0.73,0.00,0.00,0.05,0.00,-0.25,20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14246,Elément,Total,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/litre,litre,,7.17000,6.68,0.03,0.00,0.46,0.00,-2.31,20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14246,Poste,Amont,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/litre,litre,,7.17000,6.68,0.03,0.00,0.46,0.00,-2.31,20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14247,Elément,Total,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/MJ PCI,MJ PCI,,0.21700,0.20,0.00,0.00,0.01,0.00,-0.07,20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14247,Poste,Amont,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/MJ PCI,MJ PCI,,0.21700,0.20,0.00,0.00,0.01,0.00,-0.07,20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14248,Elément,Total,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/tep PCI,tep PCI,,"9,068.00000","8,452.00",37.10,0.00,579.00,0.00,"-2,924.00",20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
14248,Poste,Amont,Liquides,Biodiesel,changement d'affectation des sols scénario maximum,France continentale,,kgCO2e/tep PCI,tep PCI,,"9,068.00000","8,452.00",37.10,0.00,579.00,0.00,"-2,924.00",20,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
